"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27828","test_verify_twitter","tests","2026-01-02","passed","2026-01-03","","test_open_social_tab","",""
"","7973","test_login","tests","2026-01-02","passed","2026-01-02","","test_login","",""
